Maharashtra|Rajiv Gandhi Medical College and Chhatrapati Shivaji Maharaj Hospital, Thane|100
Maharashtra|Shri Vasant Rao Naik Govt. Medical College, Yavatmal|200
Maharashtra|Sri Bhausaheb Hire Government Medical College, Dhule|150
Maharashtra|SRTR Medical College, Ambajogai|150
Manipur|Government Medical College, Churachandpur|100
Manipur|Jawaharlal Nehru Institute of Medical Sciences, Porompet, Imphal|150
Meghalaya|Shillong Medical College|50
Mizoram|Zoram Medical College, Mizoram|100
Nagaland|Nagaland Institute of Medical Sciences & Research|100
Odisha|Dharanidhar Medical College and Hospital, Keonjhar|100
Odisha|Bhima Bhoi Medical College & Hospital, Balangir|100
Odisha|Fakir Mohan Medical College & Hospital, Balasore|100
Odisha|Government Medical College Phulbani, Kandhamal|100
Odisha|Government Medical College, Sundargarh|100
Odisha|Mahraja Jajati Keshari Medical College, Jajpur|50
Odisha|Pabitra Mohan Pradhan Medical College, Talcher|100
Odisha|Pt. Raghunath Murmu Medical College and Hospital, Baripada|125
Odisha|Saheed Laxman Nayak Medical College & Hospital, Koraput|125
Odisha|Saheed Rendo Majhi Medical College and Hospital, Bhawanipatna, Kalahandi|100
